University,75earn,Ownership,Control
University of Minnesota-Morris,53300,1,Public
Stephen F Austin State University,53300,1,Public
University of Southern Mississippi,53200,1,Public
Indiana University-Northwest,53100,1,Public
Northwest Missouri State University,53100,1,Public
Tennessee State University,53100,1,Public
University of Wisconsin-Parkside,53100,1,Public
Western State College of Colorado,53000,1,Public
University of Maryland Eastern Shore,53000,1,Public
Indiana University of Pennsylvania-Main Campus,53000,1,Public
Lake Superior State University,52900,1,Public
Lock Haven University,52800,1,Public
Northeastern Illinois University,52700,1,Public
Saginaw Valley State University,52700,1,Public
Purdue University-North Central Campus,52600,1,Public
Missouri State University-Springfield,52600,1,Public
Eastern Oregon University,52600,1,Public
Shepherd University,52500,1,Public
Washburn University,52400,1,Public
Northwestern State University of Louisiana,52400,1,Public
SUNY College at Buffalo,52400,1,Public
Southern Oregon University,52400,1,Public
University of Hawaii-West Oahu,52200,1,Public
Ball State University,52200,1,Public
Eastern Michigan University,52200,1,Public
University of Nebraska at Kearney,52200,1,Public
The University of Texas-Pan American,52200,1,Public
Colorado State University-Pueblo,52100,1,Public
University of Southern Maine,52100,1,Public
University of Central Missouri,52100,1,Public
Western Oregon University,52100,1,Public
University of Wisconsin-Green Bay,52100,1,Public
University of Wisconsin-Stevens Point,52100,1,Public
Chicago State University,52000,1,Public
California University of Pennsylvania,52000,1,Public
Colorado Mesa University,51900,1,Public
New Mexico State University-Main Campus,51900,1,Public
Minot State University,51900,1,Public
Northwestern Oklahoma State University,51900,1,Public
University of Houston-Victoria,51900,1,Public
Marshall University,51900,1,Public
Louisiana State University-Shreveport,51800,1,Public
SUNY at Fredonia,51800,1,Public
Kent State University at Kent,51800,1,Public
Montana State University-Northern,51700,1,Public
Slippery Rock University of Pennsylvania,51700,1,Public
Longwood University,51700,1,Public
The University of Montana,51600,1,Public
University of South Carolina-Aiken,51600,1,Public
Plymouth State University,51500,1,Public
Cameron University,51400,1,Public
Mansfield University of Pennsylvania,51400,1,Public
Coppin State University,51300,1,Public
Dakota State University,51300,1,Public
CUNY Medgar Evers College,51200,1,Public
Minnesota State University Moorhead,51100,1,Public
University of Akron Main Campus,51100,1,Public
The University of Tennessee at Chattanooga,51100,1,Public
Indiana University-Purdue University-Fort Wayne,51000,1,Public
Nicholls State University,51000,1,Public
SUNY College at Potsdam,51000,1,Public
Troy University,50900,1,Public
Fort Hays State University,50900,1,Public
University of North Carolina at Asheville,50800,1,Public
The University of Virginia's College at Wise,50800,1,Public
Southeast Missouri State University,50700,1,Public
Appalachian State University,50700,1,Public
North Carolina A & T State University,50700,1,Public
Middle Tennessee State University,50700,1,Public
University of North Alabama,50600,1,Public
Fort Lewis College,50600,1,Public
Valdosta State University,50600,1,Public
Bemidji State University,50600,1,Public
Macon State College,50500,1,Public
Indiana State University,50500,1,Public
Athens State University,50400,1,Public
Southern Arkansas University Main Campus,50400,1,Public
